ts,time,source,ticker,detail
1777383022,09:30,FLOW,SPX,MAGNET UP
1777383022,09:30,FLOW,SPX,MAGNET UP
1777383022,09:30,FLOW,SPX,MAGNET UP
1777383022,09:30,FLOW,SPX,MAGNET UP
1777383022,09:30,FLOW,SPX,MAGNET UP
1777383022,09:30,FLOW,SPX,MAGNET UP
1777383022,09:30,FLOW,SPX,MAGNET UP
1777383022,09:30,FLOW,SPX,MAGNET UP
1777383022,09:30,FLOW,SPX,MAGNET UP
1777383022,09:30,FLOW,SPX,MAGNET UP
1777383022,09:30,FLOW,SPX,MAGNET UP
1777383022,09:30,FLOW,SPX,MAGNET UP
1777383212,09:33,FLOW,NVDA,MAGNET UP
1777383227,09:33,SOE,DIA,POST BOTTOM LAUNCH
1777383227,09:33,SOE,RUT,SUPPORT BOUNCE
1777383227,09:33,SOE,SPX,POST BOTTOM LAUNCH
1777383228,09:33,SOE,NVDA,POST BOTTOM LAUNCH
1777383229,09:33,SOE,TXN,SUPPORT BOUNCE
1777383229,09:33,SOE,TSM,SUPPORT BOUNCE
1777383229,09:33,SOE,WMT,POST BOTTOM LAUNCH
1777383229,09:33,SOE,JPM,MAGNET BREAKOUT
1777383229,09:33,SOE,UNH,MAGNET BREAKOUT
1777383231,09:33,SOE,ARM,POST BOTTOM LAUNCH
1777383231,09:33,SOE,ABNB,MAGNET BREAKOUT
1777383231,09:33,SOE,DDOG,SUPPORT BOUNCE
1777383231,09:33,SOE,DELL,POST BOTTOM LAUNCH
1777383232,09:33,SOE,CVS,MAGNET BREAKOUT
1777383232,09:33,SOE,NEE,PINNING PREMIUM SELL
1777383232,09:33,SOE,ELV,POST BOTTOM LAUNCH
1777383233,09:33,SOE,GME,MAGNET BREAKOUT
1777383234,09:33,SETUP,COIN,MAGNET UP
1777383234,09:33,SETUP,NVDA,MAGNET UP
1777383234,09:33,SETUP,MU,MAGNET UP
1777383234,09:33,SETUP,ANET,MAGNET UP
1777383234,09:33,SETUP,CRWD,MAGNET UP
1777383234,09:33,SETUP,SNDK,MAGNET UP
1777383234,09:33,SETUP,PANW,MAGNET UP
1777383234,09:33,SETUP,DELL,MAGNET UP
1777383234,09:33,SETUP,NET,MAGNET UP
1777383234,09:33,SETUP,ARM,MAGNET UP
1777383234,09:33,SETUP,GEV,MAGNET UP
1777383234,09:33,SETUP,HPE,MAGNET UP
1777383234,09:33,SETUP,HIMS,MAGNET UP
1777383234,09:33,SETUP,VICR,MAGNET UP
1777383234,09:33,SETUP,MRNA,MAGNET UP
1777383234,09:33,SETUP,TER,MAGNET UP
1777383234,09:33,SETUP,MSTR,MAGNET UP
1777383234,09:33,SETUP,ON,MAGNET UP
1777383234,09:33,SETUP,IBIT,MAGNET UP
1777383234,09:33,SETUP,GOOGL,MAGNET UP
1777383234,09:33,SETUP,AMZN,SUPPORT
1777383234,09:33,SETUP,META,MAGNET UP
1777383279,09:34,FLOW,SPX,MAGNET UP
1777383279,09:34,FLOW,SPX,MAGNET UP
1777383279,09:34,FLOW,QQQ,MAGNET FADE
1777383279,09:34,FLOW,SPX,MAGNET UP
1777383279,09:34,FLOW,SPX,MAGNET UP
1777383279,09:34,FLOW,SPX,MAGNET UP
1777383340,09:35,FLOW,SPY,MAGNET FADE
1777383340,09:35,FLOW,QQQ,MAGNET FADE
1777383371,09:36,FLOW,QQQ,MAGNET UP
1777383371,09:36,FLOW,QQQ,MAGNET UP
1777383371,09:36,FLOW,QQQ,MAGNET UP
1777383371,09:36,FLOW,QQQ,MAGNET UP
1777383371,09:36,FLOW,SPY,MAGNET FADE
1777383371,09:36,FLOW,SPY,MAGNET FADE
1777383371,09:36,FLOW,QQQ,MAGNET UP
1777383371,09:36,FLOW,QQQ,MAGNET UP
1777383371,09:36,FLOW,QQQ,MAGNET UP
1777383371,09:36,FLOW,QQQ,MAGNET UP
1777383371,09:36,FLOW,QQQ,MAGNET UP
1777383371,09:36,FLOW,QQQ,MAGNET UP
1777383371,09:36,FLOW,SPX,MAGNET UP
1777383371,09:36,FLOW,SPX,MAGNET UP
1777383457,09:37,FLOW,MU,MAGNET UP
1777383457,09:37,FLOW,AMD,MAGNET UP
1777383458,09:37,FLOW,NVDA,MAGNET UP
1777383488,09:38,FLOW,SPX,MAGNET UP
1777383488,09:38,FLOW,TSM,MAGNET UP
1777383488,09:38,FLOW,TSM,MAGNET UP
1777383488,09:38,FLOW,SPX,MAGNET UP
1777383488,09:38,FLOW,SPX,MAGNET UP
1777383488,09:38,FLOW,TSM,MAGNET UP
1777383488,09:38,FLOW,SMH,MAGNET FADE
