date,timestamp,ticker,strike,expiration,right,price,action,is_spread,spread_strikes,_resolved_from_prior,raw_snippet,msg_id
2022-02-25,2022-02-25T10:21:57.017-05:00,SPY,435.0,,C,7.9,OPEN_UNRESOLVED_EXP,False,,,@everyone bought 18MAR $SPY 435C @ 7.9,946789121333035038
2022-02-25,2022-02-25T15:14:10.48-05:00,SPY,435.0,,C,10.3,OPEN_UNRESOLVED_EXP,False,,,@everyone taking some profits on the $SPY 435C @ 10.3. I think it's a good idea to be flat on the long side into the weekend given the current backdrop,946862662007029791
2022-02-25,2022-02-25T15:28:47.903-05:00,SPY,442.0,,C,1.0,OPEN_UNRESOLVED_EXP,False,,,@everyone we're getting some buying here into the close surprisingly. If we get another day of short covering to our 442 target it's likely to happen next week. We can keep the original trade but size,946866342185811968
2022-02-28,2022-02-28T10:18:16.574-05:00,GD,240.0,,C,2.5,OPEN_UNRESOLVED_EXP,False,,,@everyone bought $GD 240C @ 2.5 Not very liquid options so passed on the debit spread. Stop loss: 229 daily close,947875360324878368
2022-03-01,2022-03-01T14:11:09.063-05:00,GLD,190.0,,C,2.3,OPEN_UNRESOLVED_EXP,False,,,"@everyone $GLD is breaking above resistance and starting to trend. Finally. Bought  14APR $GLD 190C @ 2.3 (Starter position, I'll add another lot on a flat day)",948296353056952370
2022-03-02,2022-03-02T07:10:51.249-05:00,NET,,,,,ADD,False,,,@everyone  On a pullback I'll be adding to defense stock trades and diversifying into the defense tech side. Namely $NET and/or $PANW $CRWD,948552969744416789
2022-03-02,2022-03-02T15:21:36.355-05:00,PTON,30.0,2022-06-17,C,3.4,OPEN,False,,,@everyone  $PTON 17JUN 30C @ 3.4 Lots of call flow coming through. Potential squeeze play + new product launch + buyout speculation. Someone always knows something,948676471470313483
2022-03-03,2022-03-03T08:12:56.331-05:00,UPST,,,C,,OPEN,True,160/180,,@everyone Looking to open a short term swing today on $UPST. MACD has crossed into + territory. Targeting the 200sma @ 185  11MAR 160/180c vertical @ 5.5 *LMK if you need an idea for a smaller amount,948930981736366100
2022-03-04,2022-03-04T11:30:55.265-05:00,FCX,,,,,ADD,False,,,@everyone adding to $FCX position,949343193462353990
2022-03-04,2022-03-04T14:09:45.264-05:00,GD,240.0,,C,8.0,CLOSE,False,,,@everyone   Sold $GD 240c @ $8 +220%,949383165175296010
